;company_id;IM_NUMIDENT;IAN_FULL_NAME;IA_FULL;IA_PHONE_CODE;IA_PHONE;IND_OBL;FIO;ST_NAME;IM
11;7;" Антрацитівська  районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305695 ; 94640 ЛУГАНСЬКА ОБЛАСТЬ, АНТРАЦИТІВСЬКИЙ РАЙОН МИКИТІВКА, Петровського, буд.79, оф.16 ; 06431 ; 2-51-27 ; ЛУГАНСЬКА ОБЛАСТЬ ;  Кувшинов  Дмитро Вікторович ; Виключена з реєстру ; Детально 
12;7;" Краснолучська міська філія ПАТ ""СК ""ОРАНТА- ЛУГАНЬ"" "; 02305637 ; 94500 ЛУГАНСЬКА ОБЛАСТЬ, КРАСНИЙ ЛУЧ, МІСТО КРАСНИЙ ЛУЧ, Карла Маркса, буд.9 ; 06432 ; 2-03-75 ; ЛУГАНСЬКА ОБЛАСТЬ ; Гордєєва Євдокія Іванівна ; Виключена з реєстру ; Детально 
13;7;" Краснодонська міська філія  ПАТ ""СК ""ОРАНТА- ЛУГАНЬ"" "; 02305620 ; 94400 ЛУГАНСЬКА ОБЛАСТЬ, КРАСНОДОНСЬКИЙ РАЙОН КРАСНОДОН, Артема, буд.10 ; 06435 ; 6-32-23 ; ЛУГАНСЬКА ОБЛАСТЬ ; Іванова Ольга Миколаївна ; Виключена з реєстру ; Детально 
14;7;" Перевальська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305809 ; 94300 ЛУГАНСЬКА ОБЛАСТЬ, ПЕРЕВАЛЬСЬКИЙ РАЙОН ПЕРЕВАЛЬСЬК, Перова, буд.7 ; 06441 ; 4-20-66 ; ЛУГАНСЬКА ОБЛАСТЬ ; Стельмах Людмила Михайлівна ; Виключена з реєстру ; Детально 
15;7;" Алчевська міська філія ПАТ ""СК ""ОРАНТА-ЛУГАНЬ"" "; 02305614 ; 94207 ЛУГАНСЬКА ОБЛАСТЬ, АЛЧЕВСЬК, МІСТО АЛЧЕВСЬК, Леніна, буд.42 ; 06442 ; 4-56-28 ; ЛУГАНСЬКА ОБЛАСТЬ ; Шаповалова Наталія Олександрівна ; Виключена з реєстру ; Детально 
16;7;" Брянківська міська філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305583 ; 94190 ЛУГАНСЬКА ОБЛАСТЬ, БРЯНКА, МІСТО БРЯНКА, Московська, буд.2, оф.31 ; 06443 ; 5-04-74 ; ЛУГАНСЬКА ОБЛАСТЬ ; Стельмах   Людмила Михайлівна ; Виключена з реєстру ; Детально 
17;7;" Стаханівська міська філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305593 ; 94013 ЛУГАНСЬКА ОБЛАСТЬ, СТАХАНОВ, МІСТО СТАХАНОВ, Дзержинського, буд.14 ; 06444 ; 4-65-60 ; ЛУГАНСЬКА ОБЛАСТЬ ; Гвадзабія  Валентина Миколаївна ; Виключена з реєстру ; Детально 
18;7;" Слав'яносербська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305821 ; 93710 ЛУГАНСЬКА ОБЛАСТЬ, СЛОВ'ЯНОСЕРБСЬКИЙ РАЙОН ТРЬОХІЗБЕНКА, Горького, буд.108, оф.3 ; 06473 ; 9-49-01 ; ЛУГАНСЬКА ОБЛАСТЬ ; Литвиненко  Ольга   Іванівна ; Виключена з реєстру ; Детально 
19;7;" Станично-Луганська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305838 ; 93600 ЛУГАНСЬКА ОБЛАСТЬ, СТАНИЧНО-ЛУГАНСЬКИЙ РАЙОН СТАНИЧНО-ЛУГАНСЬКЕ, Леніна, буд.45 ; 06472 ; 2-22-93 ; ЛУГАНСЬКА ОБЛАСТЬ ; Орєшкіна Ольга Борисівна ; Виключена з реєстру ; Детально 
20;7;" Новоайдарська районна філія ПАТ ""СК ""ОРАНТА- ЛУГАНЬ"" "; 02305784 ; 93500 ЛУГАНСЬКА ОБЛАСТЬ, НОВОАЙДАРСЬКИЙ РАЙОН НОВОАЙДАР, Банківська, буд.16 ; 06445 ; 9-47-80 ; ЛУГАНСЬКА ОБЛАСТЬ ; Ісаєв  Сергій Юрійович ; Виключена з реєстру ; Детально 
21;7;" Сєвєродонецька міська філія ПАТ ""СК ""ОРАНТА - ЛУГАНСК"" "; 02305689 ; 93400 ЛУГАНСЬКА ОБЛАСТЬ, СЄВЕРОДОНЕЦЬК, МІСТО СЄВЕРОДОНЕЦЬК, Федоренко, буд.21 ; 06452 ; 6-30-73 ; ЛУГАНСЬКА ОБЛАСТЬ ; Проценко  Валентина Андріївна ; Виключена з реєстру ; Детально 
22;7;" Попаснянська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02771693 ; 93300 ЛУГАНСЬКА ОБЛАСТЬ, ПОПАСНЯНСЬКИЙ РАЙОН ПОПАСНА, Первомайська, буд.58 ; 06474 ; 2-09-44 ; ЛУГАНСЬКА ОБЛАСТЬ ; Пісковська Наталія Володимирівна ; Виключена з реєстру ; Детально 
23;7;" Первомайська міська філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305658 ; 93200 ЛУГАНСЬКА ОБЛАСТЬ, ПЕРВОМАЙСЬК, МІСТО ПЕРВОМАЙСЬК, Театральная, буд.10 ; 06455 ; 6-20-69 ; ЛУГАНСЬКА ОБЛАСТЬ ; Олександрова Людмила Володимирівна ; Виключена з реєстру ; Детально 
24;7;" Лисичанська міська філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305643 ; 93100 ЛУГАНСЬКА ОБЛАСТЬ, ЛИСИЧАНСЬК, МІСТО ЛИСИЧАНСЬК, Свердлова, буд.275 ; 06451 ; 7-07-87 ; ЛУГАНСЬКА ОБЛАСТЬ ; Лук'яненко  Людмила  Веніаминівна ; Виключена з реєстру ; Детально 
25;7;" Рубіжанська міська філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305666 ; 93070 ЛУГАНСЬКА ОБЛАСТЬ, РУБІЖНЕ, МІСТО РУБІЖНЕ, Менделєєва, буд.41, оф.1 ; 06453 ; 7-35-36 ; ЛУГАНСЬКА ОБЛАСТЬ ; Каріка   Світлана  Юріївна ; Виключена з реєстру ; Детально 
26;7;" Кремінська районна філія ПАТ ""СК ""ОРАНТА- ЛУГАНЬ"" "; 02305732 ; 92900 ЛУГАНСЬКА ОБЛАСТЬ, КРЕМІНСЬКИЙ РАЙОН КРЕМІННА, пр.Леніна, буд.13 ; 06454 ; 3-10-76 ; ЛУГАНСЬКА ОБЛАСТЬ ; Левицька Ганна Василівна ; Виключена з реєстру ; Детально 
27;7;" Біловодська районна філія ПАТ ""СК ""ОРАНТА -ЛУГАНЬ"" "; 02305703 ; 92800 ЛУГАНСЬКА ОБЛАСТЬ, БІЛОВОДСЬКИЙ РАЙОН БІЛОВОДСЬК, Леніна, буд.128 ; 06466 ; 2-02-40 ; ЛУГАНСЬКА ОБЛАСТЬ ; Бєлік Тетяна Анатоліївна Тетяна Анатоліївна ; Виключена з реєстру ; Детально 
28;7;" Старобільська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305844 ; 92700 ЛУГАНСЬКА ОБЛАСТЬ, СТАРОБІЛЬСЬКИЙ РАЙОН СТАРОБІЛЬСЬК, пл.Базарна, буд.7 ; 06461 ; 22695 ; ЛУГАНСЬКА ОБЛАСТЬ ; Гончарова  Ольга Олександрівна ; Виключена з реєстру ; Детально 
29;7;" Сватівська районна філія ПАТ ""СК ""ОРАНТА- ЛУГАНЬ"" "; 02305815 ; 92600 ЛУГАНСЬКА ОБЛАСТЬ, СВАТІВСЬКИЙ РАЙОН СВАТОВЕ, пл.Привокзальна, буд.1 ; 06471 ; 3-32-47 ; ЛУГАНСЬКА ОБЛАСТЬ ; Іванова  Тетяна  Григорівна ; Виключена з реєстру ; Детально 
30;7;" Марківська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305761 ; 92400 ЛУГАНСЬКА ОБЛАСТЬ, МАРКІВСЬКИЙ РАЙОН МАРКІВКА, пров.Южний, буд.2 ; 06464 ; 9-10-41 ; ЛУГАНСЬКА ОБЛАСТЬ ; Скиртач Алла Іванівна ; Виключена з реєстру ; Детально 
31;7;" Новопсковська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305790 ; 92300 ЛУГАНСЬКА ОБЛАСТЬ, НОВОПСКОВСЬКИЙ РАЙОН НОВОПСКОВ, Леніна, буд.10 ; 06463 ; 2-12-55 ; ЛУГАНСЬКА ОБЛАСТЬ ; Носов Юрій Миколайович ; Виключена з реєстру ; Детально 
32;7;" Білокуракінська районна філія ПАТ ""СК ""ОРАНТА- ЛУГАНЬ"" "; 02305712 ; 92200 ЛУГАНСЬКА ОБЛАСТЬ, БІЛОКУРАКИНСЬКИЙ РАЙОН БІЛОКУРАКИНЕ, Чапаєва, буд.66, оф.310 ; 06462 ; 2-10-17 ; ЛУГАНСЬКА ОБЛАСТЬ ; Васильєва Ірина Іванівна ; Виключена з реєстру ; Детально 
33;7;" Троїцька районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305850 ; 92100 ЛУГАНСЬКА ОБЛАСТЬ, ТРОЇЦЬКИЙ РАЙОН ТРОЇЦЬКЕ, пр.Перемоги, буд.58, оф.12 ; 06456 ; 2-12-47 ; ЛУГАНСЬКА ОБЛАСТЬ ; Шкальна Алла Миколаївна ; Виключена з реєстру ; Детально 
34;7;" Лутугінська районна філія ПАТ ""СК ""ОРАНТА - ЛУГАНЬ"" "; 02305755 ; 92000 ЛУГАНСЬКА ОБЛАСТЬ, ЛУТУГИНСЬКИЙ РАЙОН ЛУТУГИНЕ, Леніна, буд.89 ; 06436 ; 2-45-46 ; ЛУГАНСЬКА ОБЛАСТЬ ; Бушля  Ірина  Миколаївна  ; Виключена з реєстру ; Детально 
35;13;" Маріупольська філія Приватного акціонерного товариства ""Страхова Компанія ""ПАРАСОЛЬ"" "; 36867876 ; 87515 ДОНЕЦЬКА ОБЛАСТЬ, МАРІУПОЛЬ, МІСТО МАРІУПОЛЬ, Енгельса, буд.39-А, оф.25 ; 0629 ; 40-41-02 ; ДОНЕЦЬКА ОБЛАСТЬ ; Дроздова Олена Володимирівна ; Виключена з реєстру ; Детально 
36;14;" Луганське представництво Товариства з додатковою відповідальністю страхова компанія ""НІКА"" "; 34692315 ; 91055 ЛУГАНСЬКА ОБЛАСТЬ, ЛУГАНСЬК, МІСТО ЛУГАНСЬК, Леніна, буд.31 ; 0642 ; 42-41-27 ; ЛУГАНСЬКА ОБЛАСТЬ ; Якименко Роман Іванович ; Виключена з реєстру ; Детально 
37;14;" Донецька філія Товариства з додатковою відповідальністю страхова компанія ""НІКА"" "; 34415415 ; 83015 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Артема, буд.131 ; 062 ; 381-70-58 ; ДОНЕЦЬКА ОБЛАСТЬ ; Шморгунєнко Інна Сергіївна ; Виключена з реєстру ; Детально 
38;14;" Дніпропетровське представництво Товариства з додатковою відповідальністю страхова компанія ""НІКА"" "; 34692289 ; 49050 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, проспект Гагаріна, буд.115 ; 056 ; 776-60-09 ; ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ ; Якименко Роман Іванович ; Виключена з реєстру ; Детально 
39;14;" Київське представництво ТОВАРИСТВА З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""НІКА"" "; ; 01133 КИЇВ, КИЇВ 133, Кутузова, буд.13, оф.(кв.)304 ; 095 ; 9014161 ; КИЇВ ; Вдовиченко Раїса Михайлівна ; Виключена з реєстру ; Детально 
40;15;" Товариство з додатковою відповідальністю ""Страхова компанія ""Іллічівська"" Маріупольська філія "; 33296039 ; 87500 ДОНЕЦЬКА ОБЛАСТЬ, МАРІУПОЛЬ, МІСТО МАРІУПОЛЬ, СЕМАШКО, буд.14 ; 0629 ; 534689 ; ДОНЕЦЬКА ОБЛАСТЬ ; Верещак Людмила Анатоліївна ; Виключена з реєстру ; Детально 
41;17; Філія Товариства з додатковою відповідальністю „Страхова компанія „СПІЧ і К” у місті Донецьку ; 25670351 ; 83058 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Таганрозька, буд.11 ; 0623 ; 28-18-77 ; ДОНЕЦЬКА ОБЛАСТЬ ; Печорський Юрій Петрович ; Включена до реєстру ; Детально 
42;17; Київська філія Товариства з додатковою відповідальністю „Страхова компанія„СПІЧ і К” ; 21613936 ; 03113 КИЇВ, КИЇВ 113, проспект Повітрофлоцький, буд.34 ; 0623 ; 28-18-77 ; КИЇВ ; Печорський Юрій Петрович ; Включена до реєстру ; Детально 
43;18;" СВЕРДЛОВСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21829300 ; 94800 ЛУГАНСЬКА ОБЛАСТЬ, СВЕРДЛОВСЬКИЙ РАЙОН СВЕРДЛОВСЬК, Пирогова, буд.9, корп.відсутній, оф.(кв.)відсутній ; 06434 ; 2-28-54 ; ЛУГАНСЬКА ОБЛАСТЬ ; Мирошниченко  Олеся Сергіївна ; Включена до реєстру ; Детально 
44;18;" РОВЕНЬКОВСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 24201909 ; 94700 ЛУГАНСЬКА ОБЛАСТЬ, РОВЕНЬКИ, МІСТО РОВЕНЬКИ, Карла Маркса, буд.127, корп.відсутній, оф.(кв.)відстній ; 06433 ; 5-05-94 ; ЛУГАНСЬКА ОБЛАСТЬ ; Заіка  Тетяна  Василівна  ; Включена до реєстру ; Детально 
45;18;" АНТРАЦИТІВСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21795216 ; 94613 ЛУГАНСЬКА ОБЛАСТЬ, АНТРАЦИТІВСЬКИЙ РАЙОН АНТРАЦИТ, Петровського, буд.86, корп.відсутній, оф.(кв.)відсутній ; 06431 ; 3-04-65 ; ЛУГАНСЬКА ОБЛАСТЬ ; Смирнов Сергій Вікторович ; Включена до реєстру ; Детально 
46;18;" КРАСНОЛУЦЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21783791 ; 94500 ЛУГАНСЬКА ОБЛАСТЬ, КРАСНИЙ ЛУЧ, МІСТО КРАСНИЙ ЛУЧ, Лілії Литвяк, буд.5,7, корп.відсутній, оф.(кв.)відсутній ; 06432 ; 2-08-68 ; ЛУГАНСЬКА ОБЛАСТЬ ; Смирнов Сергій Вікторович ; Включена до реєстру ; Детально 
47;18;" КРАСНОДОНСЬКА ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21796246 ; 94404 ЛУГАНСЬКА ОБЛАСТЬ, КРАСНОДОНСЬКИЙ РАЙОН КРАСНОДОН, Петра Котова, буд.2а, корп.відсутній, оф.(кв.)відсутній ; 06435 ; 6-30-93 ; ЛУГАНСЬКА ОБЛАСТЬ ; Серебреннікова  Олена Володимирівна  ; Включена до реєстру ; Детально 
48;18;" АЛЧЕВСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21791520 ; 94214 ЛУГАНСЬКА ОБЛАСТЬ, АЛЧЕВСЬК, МІСТО АЛЧЕВСЬК, Металургів, буд.8, корп.відсутній, оф.(кв.)184 ; 06442 ; 3-90-29 ; ЛУГАНСЬКА ОБЛАСТЬ ; Лемента  Неля  Василівна  ; Включена до реєстру ; Детально 
49;18;" СТАХАНОВСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 24201565 ; 94000 ЛУГАНСЬКА ОБЛАСТЬ, СТАХАНОВ, МІСТО СТАХАНОВ, Леніна, буд.2, корп.відсутній, оф.(кв.)1 ; 06444 ; 4-02-33 ; ЛУГАНСЬКА ОБЛАСТЬ ; Решетнікова  Тетяна  Павлівна  ; Включена до реєстру ; Детально 
50;18;" КІРОВСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21795239 ; 93800 ЛУГАНСЬКА ОБЛАСТЬ, КІРОВСЬК, МІСТО КІРОВСЬК, Борисова, буд.5, корп.відсутній, оф.(кв.)4 ; 06446 ; 4-37-67 ; ЛУГАНСЬКА ОБЛАСТЬ ; Смирнов  Сергій  Вікторович  ; Включена до реєстру ; Детально 
51;18;" СЄВЄРОДОНЕЦЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21796606 ; 93400 ЛУГАНСЬКА ОБЛАСТЬ, СЄВЕРОДОНЕЦЬК, МІСТО СЄВЕРОДОНЕЦЬК, Гагарина, буд.55, корп.відсутній, оф.(кв.)відсутній ; 06452 ; 702-677 ; ЛУГАНСЬКА ОБЛАСТЬ ; Прокопчук  Галина  Леонідівна  ; Включена до реєстру ; Детально 
52;18;" ЛИСИЧАНСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21793306 ; 93113 ЛУГАНСЬКА ОБЛАСТЬ, ЛИСИЧАНСЬК, МІСТО ЛИСИЧАНСЬК, Володимира Сосюри, буд.291, корп.відсутній, оф.(кв.)75 ; 06451 ; 7-21-16 ; ЛУГАНСЬКА ОБЛАСТЬ ; Бондаренко  Володимир  Олегович  ; Включена до реєстру ; Детально 
53;18;" РУБІЖАНСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21796440 ; 93009 ЛУГАНСЬКА ОБЛАСТЬ, РУБІЖНЕ, МІСТО РУБІЖНЕ, Пушкіна, буд.13, корп.відсутній, оф.(кв.)відсутній ; 06453 ; 5-03-40 ; ЛУГАНСЬКА ОБЛАСТЬ ; Заіка Тетяна  Василівна ; Включена до реєстру ; Детально 
54;18;" ЛУГАНСЬКА  ФІЛІЯ  ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 21824544 ; 91021 ЛУГАНСЬКА ОБЛАСТЬ, ЛУГАНСЬК, МІСТО ЛУГАНСЬК, Совєтская, буд.20б, корп.відсутній, оф.(кв.)відсутній ; 0642 ; 33-14-38 ; ЛУГАНСЬКА ОБЛАСТЬ ; Серебреннікова  Олена  Володимирівна  ; Включена до реєстру ; Детально 
55;18;" ХАРЦИЗЬКА ФІЛІЯ ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 36951627 ; 86709 ДОНЕЦЬКА ОБЛАСТЬ, ХАРЦИЗЬК, МІСТО ХАРЦИЗЬК, Краснознаменська, буд.168, корп.відсутній, оф.(кв.)17 ; 06257 ; 42735 ; ДОНЕЦЬКА ОБЛАСТЬ ; Лемента  Неля Василівна  ; Включена до реєстру ; Детально 
56;18;" ТОРЕЗЬКА ФІЛІЯ ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 36994427 ; 86600 ДОНЕЦЬКА ОБЛАСТЬ, ТОРЕЗ, МІСТО ТОРЕЗ, 50 років СРСР, буд.4, корп.відсутній, оф.(кв.)відсутній ; 06254 ; 32320 ; ДОНЕЦЬКА ОБЛАСТЬ ; Мирошниченко Олеся Сергіївна ; Включена до реєстру ; Детально 
57;18;" СНІЖНЯНСЬКА ФІЛІЯ ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 36994414 ; 86500 ДОНЕЦЬКА ОБЛАСТЬ, СНІЖНЕ, МІСТО СНІЖНЕ, Руднева, буд.1, корп.відсутній, оф.(кв.)відсутній ; 06256 ; 53352 ; ДОНЕЦЬКА ОБЛАСТЬ ; Серебреннікова Олена Володимирівна ; Включена до реєстру ; Детально 
58;18;" ЄНАКІЄВСЬКА ФІЛІЯ ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 36951632 ; 86400 ДОНЕЦЬКА ОБЛАСТЬ, ЄНАКІЄВЕ, МІСТО ЄНАКІЄВЕ, проспект Металургів, буд.26, корп.відсутній, оф.(кв.)52 ; 06252 ; 54949 ; ДОНЕЦЬКА ОБЛАСТЬ ; Серебреннікова Олена Володимирівна ; Включена до реєстру ; Детально 
59;18;" ШАХТАРСЬКА ФІЛІЯ ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 36995863 ; 86200 ДОНЕЦЬКА ОБЛАСТЬ, ШАХТАРСЬКИЙ РАЙОН ШАХТАРСЬК, Берегового, буд.12, корп.відсутній, оф.(кв.)3 ; 06255 ; 42400 ; ДОНЕЦЬКА ОБЛАСТЬ ; Серебреннікова Олена Володимирівна ; Включена до реєстру ; Детально 
60;18;" ВОЛНОВАСЬКА ФІЛІЯ ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""СТРАХОВА КОМПАНІЯ АСКО-ДОНБАС ПІВНІЧНИЙ"" "; 37107553 ; 85700 ДОНЕЦЬКА ОБЛАСТЬ, ВОЛНОВАСЬКИЙ РАЙОН ВОЛНОВАХА, Кості Бабіна , буд.6, корп.відсутній, оф.(кв.)11 ; 06244 ; 41136 ; ДОНЕЦЬКА ОБЛАСТЬ ; Лемента Неля Василівна ; Включена до реєстру ; Детально 
